reporting_date,state,industry,turnover_millions
1/01/2010,New South Wales ,Supermarket and grocery stores ,2053.5
1/01/2010,New South Wales ,Liquor retailing ,233.7
1/01/2010,New South Wales ,Other specialised food retailing ,255.4
1/01/2010,New South Wales ,Food retailing ,2542.6
1/01/2010,New South Wales ,"Furniture, floor coverings, houseware and textile goods retailing ",312.0
1/01/2010,New South Wales ,Electrical and electronic goods retailing ,491.9
1/01/2010,New South Wales ,"Hardware, building and garden supplies retailing ",309.2
1/01/2010,New South Wales ,Household goods retailing ,1113.0
1/01/2010,New South Wales ,Clothing retailing ,317.2
1/01/2010,New South Wales ,Footwear and other personal accessory retailing ,219.1
1/01/2010,New South Wales ,"Clothing, footwear and personal accessory retailing ",536.4
1/01/2010,New South Wales ,Department stores ,491.3
1/01/2010,New South Wales ,Newspaper and book retailing ,87.4
1/01/2010,New South Wales ,Other recreational goods retailing ,97.7
1/01/2010,New South Wales ,"Pharmaceutical, cosmetic and toiletry goods retailing ",255.6
1/01/2010,New South Wales ,Other retailing n.e.c. ,266.2
1/01/2010,New South Wales ,Other retailing ,706.9
1/01/2010,New South Wales ,"Cafes, restaurants and catering services ",427.1
1/01/2010,New South Wales ,Takeaway food services ,412.6
1/01/2010,New South Wales ,"Cafes, restaurants and takeaway food services ",839.7
1/01/2010,Victoria ,Supermarket and grocery stores ,1670.6
1/01/2010,Victoria ,Liquor retailing ,134.8
1/01/2010,Victoria ,Other specialised food retailing ,156.6
1/01/2010,Victoria ,Food retailing ,1962.0
1/01/2010,Victoria ,"Furniture, floor coverings, houseware and textile goods retailing ",241.1
1/01/2010,Victoria ,Electrical and electronic goods retailing ,380.4
1/01/2010,Victoria ,"Hardware, building and garden supplies retailing ",233.5
1/01/2010,Victoria ,Household goods retailing ,855.0
1/01/2010,Victoria ,Clothing retailing ,285.0
1/01/2010,Victoria ,Footwear and other personal accessory retailing ,160.7
1/01/2010,Victoria ,"Clothing, footwear and personal accessory retailing ",445.6
1/01/2010,Victoria ,Department stores ,330.7
1/01/2010,Victoria ,Newspaper and book retailing ,62.8
1/01/2010,Victoria ,Other recreational goods retailing ,86.8
1/01/2010,Victoria ,"Pharmaceutical, cosmetic and toiletry goods retailing ",260.7
1/01/2010,Victoria ,Other retailing n.e.c. ,269.2
1/01/2010,Victoria ,Other retailing ,679.5
1/01/2010,Victoria ,"Cafes, restaurants and catering services ",373.1
1/01/2010,Victoria ,Takeaway food services ,284.8
1/01/2010,Victoria ,"Cafes, restaurants and takeaway food services ",657.9
1/01/2010,Queensland ,Supermarket and grocery stores ,1432.8
1/01/2010,Queensland ,Liquor retailing ,194.0
1/01/2010,Queensland ,Other specialised food retailing ,73.8
1/01/2010,Queensland ,Food retailing ,1700.6
1/01/2010,Queensland ,"Furniture, floor coverings, houseware and textile goods retailing ",173.4
1/01/2010,Queensland ,Electrical and electronic goods retailing ,325.4
1/01/2010,Queensland ,"Hardware, building and garden supplies retailing ",213.4
1/01/2010,Queensland ,Household goods retailing ,712.3
1/01/2010,Queensland ,Clothing retailing ,168.0
1/01/2010,Queensland ,Footwear and other personal accessory retailing ,88.2
1/01/2010,Queensland ,"Clothing, footwear and personal accessory retailing ",256.2
1/01/2010,Queensland ,Department stores ,296.1
1/01/2010,Queensland ,Newspaper and book retailing ,113.4
1/01/2010,Queensland ,Other recreational goods retailing ,106.4
1/01/2010,Queensland ,"Pharmaceutical, cosmetic and toiletry goods retailing ",203.5
1/01/2010,Queensland ,Other retailing n.e.c. ,179.6
1/01/2010,Queensland ,Other retailing ,603.0
1/01/2010,Queensland ,"Cafes, restaurants and catering services ",245.5
1/01/2010,Queensland ,Takeaway food services ,235.5
1/01/2010,Queensland ,"Cafes, restaurants and takeaway food services ",481.0
1/01/2010,South Australia ,Supermarket and grocery stores ,493.0
1/01/2010,South Australia ,Liquor retailing ,42.3
1/01/2010,South Australia ,Other specialised food retailing ,47.9
1/01/2010,South Australia ,Food retailing ,583.2
1/01/2010,South Australia ,"Furniture, floor coverings, houseware and textile goods retailing ",75.1
1/01/2010,South Australia ,Electrical and electronic goods retailing ,123.0
1/01/2010,South Australia ,"Hardware, building and garden supplies retailing ",79.4
1/01/2010,South Australia ,Household goods retailing ,277.4
1/01/2010,South Australia ,Clothing retailing ,66.4
1/01/2010,South Australia ,Footwear and other personal accessory retailing ,31.2
1/01/2010,South Australia ,"Clothing, footwear and personal accessory retailing ",97.6
1/01/2010,South Australia ,Department stores ,124.9
1/01/2010,South Australia ,Newspaper and book retailing ,30.7
1/01/2010,South Australia ,Other recreational goods retailing ,24.5
1/01/2010,South Australia ,"Pharmaceutical, cosmetic and toiletry goods retailing ",85.1
1/01/2010,South Australia ,Other retailing n.e.c. ,66.7
1/01/2010,South Australia ,Other retailing ,207.0
