"industry","total_turnover_m","industry_rank"
"Supermarket and grocery stores","1701697.5","1"
"Cafes, restaurants and catering services","413523.3","2"
"Electrical and electronic goods retailing","334806.3","3"
"Other retailing n.e.c.","313843.8","4"
"Hardware, building and garden supplies retailing","301449.2","5"
"Department stores","292825.6","6"
"Pharmaceutical, cosmetic and toiletry goods retailing","290729.9","7"
"Takeaway food services","285351.9","8"
"Clothing retailing","265884.9","9"
"Furniture, floor coverings, houseware and textile goods retailing","231461.2","10"
"Liquor retailing","145371.6","11"
"Footwear and other personal accessory retailing","131569.8","12"
"Other specialised food retailing","114602.1","13"
"Other recreational goods retailing","89544.3","14"
"Newspaper and book retailing","47878.9","15"
