state,industry,reporting_date,year,month,month_no,turnover_millions,yoy_growth_pct
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2019,2019,January  ,1,36.7,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2019,2019,February ,2,40,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2019,2019,March    ,3,45.5,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2019,2019,April    ,4,44.4,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2019,2019,May      ,5,44.5,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2019,2019,June     ,6,38.8,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2019,2019,July     ,7,41.6,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2019,2019,August   ,8,44.2,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2019,2019,September,9,43.8,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2019,2019,October  ,10,45,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2019,2019,November ,11,44.3,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2019,2019,December ,12,41.4,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2020,2020,January  ,1,32.6,-11.17
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2020,2020,February ,2,37.6,-6.00
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2020,2020,March    ,3,29.8,-34.51
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2020,2020,April    ,4,12.6,-71.62
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2020,2020,May      ,5,14.9,-66.52
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2020,2020,June     ,6,25.9,-33.25
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2020,2020,July     ,7,31.7,-23.80
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2020,2020,August   ,8,32.4,-26.70
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2020,2020,September,9,32,-26.94
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2020,2020,October  ,10,33.7,-25.11
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2020,2020,November ,11,36.3,-18.06
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2020,2020,December ,12,37.2,-10.14
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2021,2021,January  ,1,32.9,0.92
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2021,2021,February ,2,38,1.06
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2021,2021,March    ,3,42.1,41.28
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2021,2021,April    ,4,40.6,222.22
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2021,2021,May      ,5,43.5,191.95
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2021,2021,June     ,6,41.3,59.46
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2021,2021,July     ,7,42.6,34.38
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2021,2021,August   ,8,25,-22.84
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2021,2021,September,9,15,-53.13
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2021,2021,October  ,10,26.9,-20.18
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2021,2021,November ,11,45.5,25.34
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2021,2021,December ,12,45.8,23.12
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2022,2022,January  ,1,37.5,13.98
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2022,2022,February ,2,45.6,20.00
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2022,2022,March    ,3,53.1,26.13
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2022,2022,April    ,4,49.6,22.17
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2022,2022,May      ,5,53.4,22.76
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2022,2022,June     ,6,49.8,20.58
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2022,2022,July     ,7,55.1,29.34
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2022,2022,August   ,8,58.9,135.60
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2022,2022,September,9,59.9,299.33
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2022,2022,October  ,10,57.1,112.27
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2022,2022,November ,11,63.8,40.22
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2022,2022,December ,12,67.8,48.03
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2023,2023,January  ,1,58.1,54.93
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2023,2023,February ,2,60.9,33.55
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2023,2023,March    ,3,66.4,25.05
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2023,2023,April    ,4,60.7,22.38
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2023,2023,May      ,5,67.8,26.97
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2023,2023,June     ,6,66.8,34.14
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2023,2023,July     ,7,68.8,24.86
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2023,2023,August   ,8,72.4,22.92
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2023,2023,September,9,67.7,13.02
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2023,2023,October  ,10,62,8.58
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2023,2023,November ,11,66.1,3.61
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2023,2023,December ,12,71.1,4.87
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2024,2024,January  ,1,60.1,3.44
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2024,2024,February ,2,63.4,4.11
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2024,2024,March    ,3,70.7,6.48
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2024,2024,April    ,4,68.4,12.69
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2024,2024,May      ,5,69.9,3.10
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2024,2024,June     ,6,66.9,0.15
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2024,2024,July     ,7,73.8,7.27
